id,name,artist,album,duration,uri
"369EsdhrnTtKBn9LQYGZvo","Raging on a Sunday","Bohnes","206: Act II","?",""
"2v6eigo5rCplKdlFBJgMPM","JOLT","Unlike Pluto","Fake Smiles, Real Memories","?",""
"6K9Lm4vWUlO7iSr9Yy9JCG","Something Snapped","OwnSystem.exe","Something Snapped","?",""
"4pV6Kx1T9L49PBFwH1g8ca","Aces","dkj","Aces","?",""
"1BrgjqSg9du0lj3TUMLluL","To Hell and Back","Sabaton","Heroes","?",""
"08mG3Y1vljYA6bvDt4Wqkj","Back In Black","AC/DC","Back In Black","?",""
"2wmQfaHp4zbqQkbf5nu5SF","Why We Lose","Cartoon, Jéja, Coleman Trapp","Why We Lose","?",""
"0UhWFmdlrBSmZ7A6bFD8L9","C'est la vie","Weathers","Pillows & Therapy","?",""
"2JqyquFrqaoKt0SRr91meT","Dead Inside","Younger Hunger","Dead Inside","?",""
"2U94Nj4SVS7TNsUiObLWPm","End of It","Friday Pilots Club","End of It","?",""
"0ZdDkK1P1K00Vugp2e8Gfd","Little Poor Me","Layto","Little Poor Me","?",""
"41tvdK0UNp3oNKWDPkg7FO","Doom Du Doom","P1Harmony","HARMONY : ZERO IN","?",""
"35Tb86wKWhFctweaEdsXJE","Precious Time, Glory Days 2018","サイキックラバー","PSYCHIC LOVER 15th Anniversary Re-recording Tracks 〜CRUSH & BUILD〜","?",""
"0e8nrvls4Qqv5Rfa2UhqmO","THATS WHAT I WANT","Lil Nas X","MONTERO","?",""
"4AXAS26dUVTnCnubySfkbv","The Kid I Used to Know","Arrested Youth","Sobville (Episode I)","?",""
"42ZwelVk9yQF4Twt9l43Ba","Feeling Stronger - High Maintenance Remix","MUZZ, Charlotte Colley, High Maintenance","Get Crazy / Feeling Stronger (The Remixes)","?",""
"1xzBco0xcoJEDXktl7Jxrr","Mo Bamba","Sheck Wes","MUDBOY","?",""
"37Nqx7iavZpotJSDXZWbJ3","Girls Want Girls (with Lil Baby)","Drake, Lil Baby","Certified Lover Boy","?",""
"1D3z6HTiQsNmZxjl7F7eoG","m y . l i f e (with 21 Savage & Morray)","J. Cole, 21 Savage, Morray","The Off-Season","?",""
"2XW4DbS6NddZxRPm5rMCeY","God's Plan","Drake","Scary Hours","?",""
"2xTft6GEZeTyWNpdX94rkf","All Eyez On Me","2Pac","All Eyez On Me","?",""
"4KDNRh9Oor80z3XIxdWlui","Bubbly (with Drake & Travis Scott)","Young Thug, Drake, Travis Scott","Punk","?",""
"2igwFfvr1OAGX9SKDCPBwO","Empire State Of Mind","JAŸ-Z, Alicia Keys","The Blueprint 3","?",""
"6IZvVAP7VPPnsGX6bvgkqg","PRIDE.","Kendrick Lamar","DAMN.","?",""
"5yVZEvBORMhBgopVg24nup","Power Of Will","Dynazty","Final Advent (Japan Edition)","?",""
"0aW4RWeGekBfU2NhREc5kL","Do It Like This","P1Harmony","DISHARMONY : FIND OUT","?",""
"3OTClWUY9bf3qVXrR9LNL6","Just Dance","Bad Computer","Just Dance","?",""
"0ePX6rVjeql7Bt1KurTbAG","What, Me Worry?","Portugal. The Man","What, Me Worry?","?",""
"3YeJXuRSNS5FYwOsDu44kD","Dark Knight Dummo (Feat. Travis Scott)","Trippie Redd, Travis Scott","Dark Knight Dummo (Feat. Travis Scott)","?",""
"7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","Kendrick Lamar","DAMN.","?",""
"7ycWLEP1GsNjVvcjawXz3z","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky, Skepta","TESTING","?",""
"3ee8Jmje8o58CHK66QrVC2","SAD!","XXXTENTACION","?","?",""
